"","ID_UC_G0","bin","count","GC_UCN_MAI_2025","GC_CNT_GAD_2025","city_country","prop"
"181",391,"p0_0.2",1637837,"Bamako","Mali","Bamako (Mali)",0.581514381486546
"182",391,"p0.2_0.4",516180,"Bamako","Mali","Bamako (Mali)",0.1832698207671
"183",391,"p0.4_0.6",356730,"Bamako","Mali","Bamako (Mali)",0.12665706374181
"184",391,"p0.6_0.8",244762,"Bamako","Mali","Bamako (Mali)",0.0869028010976732
"185",391,"p0.8_1",60994,"Bamako","Mali","Bamako (Mali)",0.0216559329068707
"186",3943,"p0_0.2",2535330,"Pretoria","South Africa","Pretoria (South Africa)",0.82814489963439
"187",3943,"p0.2_0.4",209518,"Pretoria","South Africa","Pretoria (South Africa)",0.0684373486219143
"188",3943,"p0.4_0.6",107107,"Pretoria","South Africa","Pretoria (South Africa)",0.0349856293914956
"189",3943,"p0.6_0.8",100192,"Pretoria","South Africa","Pretoria (South Africa)",0.0327269009494499
"190",3943,"p0.8_1",109310,"Pretoria","South Africa","Pretoria (South Africa)",0.0357052214027504
"191",395,"p0_0.2",539607,"Bobo-Dioulasso","Burkina Faso","Bobo-Dioulasso (Burkina Faso)",0.540450102159369
"192",395,"p0.2_0.4",230149,"Bobo-Dioulasso","Burkina Faso","Bobo-Dioulasso (Burkina Faso)",0.230508593405713
"193",395,"p0.4_0.6",155978,"Bobo-Dioulasso","Burkina Faso","Bobo-Dioulasso (Burkina Faso)",0.156221705861143
"194",395,"p0.6_0.8",61796,"Bobo-Dioulasso","Burkina Faso","Bobo-Dioulasso (Burkina Faso)",0.0618925523817155
"195",395,"p0.8_1",10910,"Bobo-Dioulasso","Burkina Faso","Bobo-Dioulasso (Burkina Faso)",0.0109270461920596
"196",40,"p0_0.2",891817,"Serrekunda","Gambia","Serrekunda (Gambia)",0.778190318791917
"197",40,"p0.2_0.4",150871,"Serrekunda","Gambia","Serrekunda (Gambia)",0.131648478988913
"198",40,"p0.4_0.6",73175,"Serrekunda","Gambia","Serrekunda (Gambia)",0.0638517505021754
"199",40,"p0.6_0.8",24335,"Serrekunda","Gambia","Serrekunda (Gambia)",0.0212344700850077
"200",40,"p0.8_1",5816,"Serrekunda","Gambia","Serrekunda (Gambia)",0.00507498163198704
"201",4155,"p0_0.2",2320562,"Khartoum","Sudan","Khartoum (Sudan)",0.388074482890562
"202",4155,"p0.2_0.4",1832438,"Khartoum","Sudan","Khartoum (Sudan)",0.306444055051757
"203",4155,"p0.4_0.6",1372745,"Khartoum","Sudan","Khartoum (Sudan)",0.229568227875663
"204",4155,"p0.6_0.8",402130,"Khartoum","Sudan","Khartoum (Sudan)",0.0672493955364182
"205",4155,"p0.8_1",51807,"Khartoum","Sudan","Khartoum (Sudan)",0.00866383864560022
"206",4183,"p0_0.2",1240599,"Ilorin","Nigeria","Ilorin (Nigeria)",0.847861788712344
"207",4183,"p0.2_0.4",96057,"Ilorin","Nigeria","Ilorin (Nigeria)",0.0656481746626763
"208",4183,"p0.4_0.6",43931,"Ilorin","Nigeria","Ilorin (Nigeria)",0.0300237355019003
"209",4183,"p0.6_0.8",40952,"Ilorin","Nigeria","Ilorin (Nigeria)",0.0279877994189484
"210",4183,"p0.8_1",41670,"Ilorin","Nigeria","Ilorin (Nigeria)",0.0284785017041311
"211",4230,"p0_0.2",209513,"El Mahalla El Kubra","Egypt","El Mahalla El Kubra (Egypt)",0.523857149643824
"212",4230,"p0.2_0.4",74848,"El Mahalla El Kubra","Egypt","El Mahalla El Kubra (Egypt)",0.187146668400247
"213",4230,"p0.4_0.6",44735,"El Mahalla El Kubra","Egypt","El Mahalla El Kubra (Egypt)",0.111853439115074
"214",4230,"p0.6_0.8",39930,"El Mahalla El Kubra","Egypt","El Mahalla El Kubra (Egypt)",0.0998392270898603
"215",4230,"p0.8_1",30917,"El Mahalla El Kubra","Egypt","El Mahalla El Kubra (Egypt)",0.0773035157509945
"216",424,"p0_0.2",645273,"N'Djamena","Chad","N'Djamena (Chad)",0.474642734197774
"217",424,"p0.2_0.4",404071,"N'Djamena","Chad","N'Djamena (Chad)",0.297222050589485
"218",424,"p0.4_0.6",202678,"N'Djamena","Chad","N'Djamena (Chad)",0.149083628296452
"219",424,"p0.6_0.8",91748,"N'Djamena","Chad","N'Djamena (Chad)",0.0674869730752369
"220",424,"p0.8_1",15722,"N'Djamena","Chad","N'Djamena (Chad)",0.0115646138410524
"221",427,"p0_0.2",711613,"Brazzaville","Republic of the Congo","Brazzaville (Republic of the Congo)",0.587645143469174
"222",427,"p0.2_0.4",197120,"Brazzaville","Republic of the Congo","Brazzaville (Republic of the Congo)",0.16278034645326
"223",427,"p0.4_0.6",120174,"Brazzaville","Republic of the Congo","Brazzaville (Republic of the Congo)",0.0992388664502538
"224",427,"p0.6_0.8",113377,"Brazzaville","Republic of the Congo","Brazzaville (Republic of the Congo)",0.0936259503846957
"225",427,"p0.8_1",68673,"Brazzaville","Republic of the Congo","Brazzaville (Republic of the Congo)",0.0567096932426172
"226",4305,"p0_0.2",809095,"Banha","Egypt","Banha (Egypt)",0.677191050075286
"227",4305,"p0.2_0.4",168681,"Banha","Egypt","Banha (Egypt)",0.141181521969298
"228",4305,"p0.4_0.6",75517,"Banha","Egypt","Banha (Egypt)",0.0632057255681167
"229",4305,"p0.6_0.8",65882,"Banha","Egypt","Banha (Egypt)",0.0551414861803125
"230",4305,"p0.8_1",75606,"Banha","Egypt","Banha (Egypt)",0.0632802162069869
"231",431,"p0_0.2",2791522,"Cape Town","South Africa","Cape Town (South Africa)",0.579577682936653
"232",431,"p0.2_0.4",954032,"Cape Town","South Africa","Cape Town (South Africa)",0.198076768159958
"233",431,"p0.4_0.6",530783,"Cape Town","South Africa","Cape Town (South Africa)",0.110201524932336
"234",431,"p0.6_0.8",357312,"Cape Town","South Africa","Cape Town (South Africa)",0.0741853587560698
"235",431,"p0.8_1",182827,"Cape Town","South Africa","Cape Town (South Africa)",0.0379586652149829
"236",4416,"p0_0.2",168527,"Kananga","Democratic Republic of the Congo","Kananga (Democratic Republic of the Congo)",0.352575059258686
